"id","date","product_id","cost"
"e00a6a6d-047b-5c77-81b7-dfbf4c3faddd","2020-02-12T00:00:00.000Z","e5c83027-ab91-5332-9362-ae7caf363356",17
"d9fff6e6-1baf-5b39-8eb4-bb8d08c88196","2020-03-06T00:00:00.000Z","e5c83027-ab91-5332-9362-ae7caf363356",18
"8f1e26ab-6427-5818-9fac-9efcedc62ce5","2020-03-22T00:00:00.000Z","e5c83027-ab91-5332-9362-ae7caf363356",16
"69ec9df7-6a61-542d-834c-280a36a39a9b","2020-04-16T23:00:00.000Z","e5c83027-ab91-5332-9362-ae7caf363356",17
"f2833f6c-c8e7-5630-be40-28c707d494d0","2020-05-31T23:00:00.000Z","e5c83027-ab91-5332-9362-ae7caf363356",20
"8554ef78-9e21-5745-908e-1c4c0ce40cca","2020-08-02T23:00:00.000Z","e5c83027-ab91-5332-9362-ae7caf363356",8
"7a908db5-9773-565d-b3c2-2bae8db2a8ab","2020-08-16T23:00:00.000Z","e5c83027-ab91-5332-9362-ae7caf363356",13
"06706945-b99a-592e-8515-632001b5826d","2020-08-18T23:00:00.000Z","e5c83027-ab91-5332-9362-ae7caf363356",19
"678ea856-4e45-53b6-82a8-d06c7ec17e2f","2020-09-07T23:00:00.000Z","e5c83027-ab91-5332-9362-ae7caf363356",9
"11623fce-5797-55ac-ab52-b6b68916fec7","2020-09-17T23:00:00.000Z","e5c83027-ab91-5332-9362-ae7caf363356",8
"ea223ddf-97a9-5f2a-b4ef-dc3f6ace3576","2020-09-25T23:00:00.000Z","e5c83027-ab91-5332-9362-ae7caf363356",8
"ab64ce4a-6903-5112-83e4-0b64175660cc","2020-11-02T00:00:00.000Z","e5c83027-ab91-5332-9362-ae7caf363356",16
"fa150eb2-0c7d-5698-8de1-877eb752f24e","2020-12-07T00:00:00.000Z","e5c83027-ab91-5332-9362-ae7caf363356",18
"6c35b869-7462-5923-930f-1f9d4237c342","2021-01-10T00:00:00.000Z","e5c83027-ab91-5332-9362-ae7caf363356",7
"cb3984e4-9184-5e40-a97e-3c90569d832e","2021-01-28T00:00:00.000Z","e5c83027-ab91-5332-9362-ae7caf363356",19
"476d9b88-880b-5833-ac57-10fb3bdd829b","2021-02-19T00:00:00.000Z","e5c83027-ab91-5332-9362-ae7caf363356",19
"1c366efd-dc08-5f19-ba38-daf146b05287","2021-03-04T00:00:00.000Z","e5c83027-ab91-5332-9362-ae7caf363356",17
"4d64ca2f-8926-55cd-84e4-6b04d88cffa6","2021-03-19T00:00:00.000Z","e5c83027-ab91-5332-9362-ae7caf363356",11
"5210c8a8-9408-5ab3-9bf2-07cf1b61464a","2021-04-01T23:00:00.000Z","e5c83027-ab91-5332-9362-ae7caf363356",20
"594bb7d7-9089-5417-b696-2bc243aec94d","2021-04-28T23:00:00.000Z","e5c83027-ab91-5332-9362-ae7caf363356",18
"9c6f42f9-6d3f-5acf-95a7-e25651bbd9fe","2021-05-28T23:00:00.000Z","e5c83027-ab91-5332-9362-ae7caf363356",15
"9f46e120-ee9d-5228-a6b1-ba94e3aaf15c","2021-07-02T23:00:00.000Z","e5c83027-ab91-5332-9362-ae7caf363356",8
"1dca0a79-7834-56b6-ba80-91d3227bf823","2021-08-08T23:00:00.000Z","e5c83027-ab91-5332-9362-ae7caf363356",12
"67d5a656-5ea9-5db7-b6e6-9ad91442b561","2021-09-07T23:00:00.000Z","e5c83027-ab91-5332-9362-ae7caf363356",18
